$Идентификатор$Корневой идентификатор$Наименование$Категория$"Повторное
срок, часов"$"Повторное
локация"
0$39046$2077$Аварийный провал грунта, асфальта$Благоустройство$24$адрес
1$39045$1853$Благоустройство дворовой территории после проведенных ремонтных, строительных работ$Благоустройство$72$адрес
2$40442$1960$Благоустройство Другое$Благоустройство$0$-
3$39043$2226$Восстановление бордюрного камня (дворовая территория)$Благоустройство$72$адрес
4$39042$2258$Грязь, мусор на контейнерной площадке (дворовая территория)$Благоустройство$12$адрес
5$39052$2242$Грязь, мусор, переполненные урны (дворовая территория)$Благоустройство$6$адрес
6$39041$2259$Завезти, заменить песок в песочнице$Благоустройство$72$адрес
7$39040$1677$Заказ бункера для вывоза строительного, крупногабаритного мусора$Благоустройство$0$-
8$39039$2520$Замена, установка домовых знаков (указателей улицы, дома, подъезда)$Благоустройство$72$адрес
9$39038$2260$Засор ливневой канализации, подтопление (дворовая территория)$Благоустройство$24$адрес
10$39037$2204$Засохшие деревья, кустарники (сухостой)$Благоустройство$72$адрес
11$39036$2227$Наклонившееся дерево, ветка$Благоустройство$72$адрес
12$39035$2517$Несанкционированные объявления, надписи, рисунки (фасад, дворовая территория)$Благоустройство$24$адрес
13$39034$2292$Открыть/закрыть вход на площадку (спортивную, для выгула собак)$Благоустройство$0$-
14$39033$2294$Переполненные мусорные контейнеры (дворовая территория)$Благоустройство$12$адрес
15$39032$1859$Просел, не зафиксирован люк, водоприемная решетка (дворовая территория)$Благоустройство$24$адрес
16$40760$40697$Ремонт информационных табличек, знаков, стендов (дворовая территория)$Благоустройство$48$адрес
17$40517$40150$Содержание, ремонт мусорных контейнеров, контейнерной площадки$Благоустройство$72$адрес
18$39031$2521$Содержание, ремонт оборудования площадок (детская, спортивная, для выгула собак)$Благоустройство$12$адрес
19$40429$2293$Содержание, ремонт объектов благоустройства (МАФ) на дворовой территории$Благоустройство$24$адрес
20$40397$40153$Содержание, ремонт парковочных ограничителей, искусственных неровностей на дорогах$Благоустройство$48$адрес
21$39029$2061$Убрать ветки, спил деревьев с земли$Благоустройство$24$адрес
22$39027$2194$Убрать упавшее дерево$Благоустройство$24$адрес
23$40762$40168$Установка информационных табличек, знаков, стендов (дворовая территория)$Благоустройство$72$адрес
24$39026$1705$Уход за деревьями, кустарниками (дворовая территория)$Благоустройство$72$адрес
25$39025$2011$Уход за клумбой, цветником, газоном (дворовая территория)$Благоустройство$72$адрес
26$39024$2522$Ямы, выбоины, повреждение покрытия проездов, тротуаров, дорожек (дворовая территория)$Благоустройство$72$адрес
27$40504$1961$Вентиляция Другое$Вентиляция$0$-
28$39060$2492$Вызов специалиста для оказания консультации по вентиляции (вопросы замены, переноса, приобретения оборудования)$Вентиляция$72$адрес+кв.
29$40438$2333$Неисправность системы вентиляции в квартире$Вентиляция$72$адрес+кв.
30$40398$40138$Неисправность системы вентиляции в подъезде$Вентиляция$72$адрес+подъезд
31$39058$2171$Проверка, прочистка дымохода (квартира с газовой колонкой, камином)$Вентиляция$72$адрес+кв.
32$39767$2049$Водосчетчики другое$Водосчетчики$0$-
33$39804$2493$Вызов специалиста для оказания консультации по водосчетчикам (вопросы диагностики, замены, переноса, приобретения оборудования)$Водосчетчики$72$адрес+кв.
34$39805$1688$Замена, установка, демонтаж водосчетчика$Водосчетчики$0$-
35$39806$1696$Поверка водосчетчика$Водосчетчики$0$-
36$18601$2317$Насекомые в общедомовых помещениях$Дезинсекция$72$адрес
37$37944$2318$Насекомые на дворовой территории$Дезинсекция$72$адрес
38$18594$2316$Грызуны (крысы, мыши) в квартире$Дератизация$72$адрес+кв.
39$18595$2314$Грызуны (крысы, мыши) в общедомовых помещениях$Дератизация$72$адрес
40$37945$2315$Грызуны (крысы, мыши) на дворовой территории$Дератизация$72$адрес
41$39730$2190$Домофоны (запирающие устройства) Другое$Домофоны (запирающие устройства)$0$-
