Идентификатор$Наименование
39045$Благоустройство дворовой территории после проведенных ремонтных, строительных работ
39041$Завезти, заменить песок в песочнице
39040$Заказ бункера для вывоза строительного, крупногабаритного мусора
39035$Несанкционированные объявления, надписи, рисунки (фасад, дворовая территория)
40517$Содержание, ремонт мусорных контейнеров, контейнерной площадки
40397$Содержание, ремонт парковочных ограничителей, искусственных неровностей на дорогах
39026$Уход за деревьями, кустарниками (дворовая территория)
39025$Уход за клумбой, цветником, газоном (дворовая территория)
40438$Неисправность системы вентиляции в квартире
40398$Неисправность системы вентиляции в подъезде
39058$Проверка, прочистка дымохода (квартира с газовой колонкой, камином)
39805$Замена, установка, демонтаж водосчетчика
39806$Поверка водосчетчика
40408$Вызов техника-смотрителя, составление акта
39438$Некачественно произведенный капитальный ремонт (подъезд, квартира)
39303$Опломбировать водосчетчик
39300$Разрушение, трещины в стене, полу, потолке (квартира)
39299$Снять контрольные показания водосчетчика (акт)
39296$Хранение химических веществ, реагентов, строительных материалов в подъезде, во дворе
40740$Не залит, некачественно залит каток, хоккейная площадка
40433$Замена, установка, перенос, ремонт канализационных труб
40349$Засор раковины, ванны (вода стоит, медленно уходит)
37947$Засор унитаза (вода стоит, медленно уходит)
37951$Слабая течь канализационных труб, соединительных элементов (квартира)
37952$Слабая течь стояка канализации в техническом шкафу
40430$Течь сифона
39049$Повреждение, засор наружного водостока
40436$Неисправность индикации, звукового оповещения лифта
40813$Замена, установка, демонтаж, перенос приборов и труб системы отопления
38898$Замена, установка, демонтаж счетчика отопления
40815$Замена, установка, перенос труб системы отопления
38672$Замена, установка, ремонт кранов, терморегуляторов системы отопления
38900$Опломбировать счетчик отопления
38904$Ремонт, прочистка приборов, труб отопления (ржавчина, накипь, деформация)
38679$Слабая течь элементов системы отопления (квартира)
38901$Снять контрольные показания счетчика отопления (акт)
38899$Техническое обслуживание счетчика отопления
39294$Закрепить прибор отопления, экран
39464$Замена стекла в двери, окне в квартире (за исключением пластиковых рам)
39267$Неисправен замок, входная дверь (квартира)
39265$Неисправен замок, межкомнатная дверь (квартира)
39259$Повреждение козырька, перил, ограждений, облицовки балкона (квартира)
38240$Закрепить раковину, ванну, унитаз, полотенцесушитель
40411$Замена, установка гибкой подводки, сифона
40414$Замена, установка, демонтаж ванны, душевой кабины
38268$Замена, установка, демонтаж, перенос полотенцесушителя
38253$Замена, установка, демонтаж раковины
38260$Замена, установка, демонтаж, ремонт смесителя, душа
38270$Замена, установка, демонтаж, ремонт электрического водонагревателя
40439$Замена, установка, демонтаж унитаза, сливного бачка, сиденья унитаза
40679$Замена, установка, демонтаж фильтра очистки питьевой воды
38274$Замена, установка, перенос водопроводных труб
38281$Замена, установка, ремонт кранов на стояках, трубах горячей, холодной воды (ГВС, ХВС)
16657$Непрогрев полотенцесушителя
38331$Подключение/отключение к водоснабжению и водоотведению посудомоечной, стиральной машины
40403$Ремонт водопроводных труб, полотенцесушителя (ржавчина, накипь, конденсат, деформация)
38346$Ремонт, регулировка системы слива бачка унитаза
38345$Слабая течь водопроводных труб (квартира)
40425$Слабая течь гибкой подводки (подача воды)
38309$Слабая течь стояка водоснабжения в техническом шкафу
38303$Слабая течь унитаза в местах соединений чаши с полом, бачком, раструбом
38296$Слабый напор в системе водоснабжения
38265$Течь смесителя, душа
38254$Установка кранов на стояках водоснабжения (первичная)
40437$Шум, гул в системе водоснабжения, канализации
40405$Ремонт, обслуживание противопожарной системы (ДУ и ППА) в квартире
39465$Замена, установка, ремонт противоскользящего покрытия (коврики)
37730$Некачественно произведенный косметический, мелкий ремонт, повреждения в процессе работ (подъезд)
39166$Некачественные ремонтные работы, повреждения в процессе ремонтных работ (фасад)
39165$Помыть, очистить фасад здания
16666$Бьет током вода, бытовая техника
38682$Выбивает автомат (пробки) при включении электроприборов, освещения
38896$Замена, монтаж, ремонт электропроводки (квартира)
40406$Неисправность розетки, выключателя в подъезде
38699$Перепады, скачки напряжения в электросети
38701$Подключение к электросети посудомоечной, стиральной машины и другой бытовой техники
38702$Проверка электросчетчика на стороннее подключение, целостность пломбы
38703$Установка, демонтаж осветительных приборов в квартире
38706$Установка, замена автомата, УЗО в электрощитке
38707$Установка, замена, ремонт дверного звонка
38895$Установка, замена, ремонт розетки/выключателя в квартире
38708$Частично отсутствует освещение, ток в электросети в квартире
38710$Неисправность электроплиты





























